Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
MOD: delay(95 95), type(tSRi), from(STEP1B_Di1_1_.AR ), to(STEP1B_Di1_1_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_Di1_1_.C ), to(STEP1B_Di1_1_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_Di1_1_.AR ), to(STEP1B_Di1_1_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_Di1_1_.AR ), to(STEP1B_Di1_1_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_Di1_1_.C ), to(STEP1B_Di1_1_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_Di1_1_.C ), to(STEP1B_Di1_1_.C )
CHK: delay(200 200), type(tH), from(STEP1B_Di1_1_.D ), to(STEP1B_Di1_1_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_Di1_1_.D ), to(STEP1B_Di1_1_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_Di1_2_.AR ), to(STEP1B_Di1_2_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_Di1_2_.C ), to(STEP1B_Di1_2_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_Di1_2_.AR ), to(STEP1B_Di1_2_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_Di1_2_.AR ), to(STEP1B_Di1_2_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_Di1_2_.C ), to(STEP1B_Di1_2_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_Di1_2_.C ), to(STEP1B_Di1_2_.C )
CHK: delay(200 200), type(tH), from(STEP1B_Di1_2_.D ), to(STEP1B_Di1_2_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_Di1_2_.D ), to(STEP1B_Di1_2_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_Di1_3_.AR ), to(STEP1B_Di1_3_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_Di1_3_.C ), to(STEP1B_Di1_3_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_Di1_3_.AR ), to(STEP1B_Di1_3_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_Di1_3_.AR ), to(STEP1B_Di1_3_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_Di1_3_.C ), to(STEP1B_Di1_3_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_Di1_3_.C ), to(STEP1B_Di1_3_.C )
CHK: delay(200 200), type(tH), from(STEP1B_Di1_3_.D ), to(STEP1B_Di1_3_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_Di1_3_.D ), to(STEP1B_Di1_3_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_Di1_4_.AR ), to(STEP1B_Di1_4_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_Di1_4_.C ), to(STEP1B_Di1_4_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_Di1_4_.AR ), to(STEP1B_Di1_4_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_Di1_4_.AR ), to(STEP1B_Di1_4_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_Di1_4_.C ), to(STEP1B_Di1_4_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_Di1_4_.C ), to(STEP1B_Di1_4_.C )
CHK: delay(200 200), type(tH), from(STEP1B_Di1_4_.D ), to(STEP1B_Di1_4_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_Di1_4_.D ), to(STEP1B_Di1_4_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_Di1_5_.AR ), to(STEP1B_Di1_5_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_Di1_5_.C ), to(STEP1B_Di1_5_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_Di1_5_.AR ), to(STEP1B_Di1_5_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_Di1_5_.AR ), to(STEP1B_Di1_5_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_Di1_5_.C ), to(STEP1B_Di1_5_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_Di1_5_.C ), to(STEP1B_Di1_5_.C )
CHK: delay(200 200), type(tH), from(STEP1B_Di1_5_.D ), to(STEP1B_Di1_5_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_Di1_5_.D ), to(STEP1B_Di1_5_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_Di1_6_.AR ), to(STEP1B_Di1_6_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_Di1_6_.C ), to(STEP1B_Di1_6_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_Di1_6_.AR ), to(STEP1B_Di1_6_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_Di1_6_.AR ), to(STEP1B_Di1_6_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_Di1_6_.C ), to(STEP1B_Di1_6_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_Di1_6_.C ), to(STEP1B_Di1_6_.C )
CHK: delay(200 200), type(tH), from(STEP1B_Di1_6_.D ), to(STEP1B_Di1_6_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_Di1_6_.D ), to(STEP1B_Di1_6_.C )
MOD: delay(95 95), type(tSRi), from(STEP5_qstate_1_.AR ), to(STEP5_qstate_1_.Q )
MOD: delay(45 45), type(tCOi), from(STEP5_qstate_1_.C ), to(STEP5_qstate_1_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_qstate_1_.AR ), to(STEP5_qstate_1_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_qstate_1_.AR ), to(STEP5_qstate_1_.C )
CHK: delay(0 0), type(tWLA), from(STEP5_qstate_1_.C ), to(STEP5_qstate_1_.C )
CHK: delay(0 0), type(tWHA), from(STEP5_qstate_1_.C ), to(STEP5_qstate_1_.C )
CHK: delay(200 200), type(tH), from(STEP5_qstate_1_.D ), to(STEP5_qstate_1_.C )
CHK: delay(200 200), type(tS_PT), from(STEP5_qstate_1_.D ), to(STEP5_qstate_1_.C )
MOD: delay(95 95), type(tSRi), from(STEP5_qstate_2_.AR ), to(STEP5_qstate_2_.Q )
MOD: delay(45 45), type(tCOi), from(STEP5_qstate_2_.C ), to(STEP5_qstate_2_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_qstate_2_.AR ), to(STEP5_qstate_2_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_qstate_2_.AR ), to(STEP5_qstate_2_.C )
CHK: delay(0 0), type(tWLA), from(STEP5_qstate_2_.C ), to(STEP5_qstate_2_.C )
CHK: delay(0 0), type(tWHA), from(STEP5_qstate_2_.C ), to(STEP5_qstate_2_.C )
CHK: delay(200 200), type(tH), from(STEP5_qstate_2_.D ), to(STEP5_qstate_2_.C )
CHK: delay(200 200), type(tS_PT), from(STEP5_qstate_2_.D ), to(STEP5_qstate_2_.C )
MOD: delay(95 95), type(tSRi), from(STEP5_qstate_0_.AR ), to(STEP5_qstate_0_.Q )
MOD: delay(45 45), type(tCOi), from(STEP5_qstate_0_.C ), to(STEP5_qstate_0_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_qstate_0_.AR ), to(STEP5_qstate_0_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_qstate_0_.AR ), to(STEP5_qstate_0_.C )
CHK: delay(0 0), type(tWLA), from(STEP5_qstate_0_.C ), to(STEP5_qstate_0_.C )
CHK: delay(0 0), type(tWHA), from(STEP5_qstate_0_.C ), to(STEP5_qstate_0_.C )
CHK: delay(200 200), type(tH), from(STEP5_qstate_0_.D ), to(STEP5_qstate_0_.C )
CHK: delay(200 200), type(tS_PT), from(STEP5_qstate_0_.D ), to(STEP5_qstate_0_.C )
MOD: delay(95 95), type(tSRi), from(STEP5_qstate_3_.AR ), to(STEP5_qstate_3_.Q )
MOD: delay(45 45), type(tCOi), from(STEP5_qstate_3_.C ), to(STEP5_qstate_3_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_qstate_3_.AR ), to(STEP5_qstate_3_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_qstate_3_.AR ), to(STEP5_qstate_3_.C )
CHK: delay(0 0), type(tWLA), from(STEP5_qstate_3_.C ), to(STEP5_qstate_3_.C )
CHK: delay(0 0), type(tWHA), from(STEP5_qstate_3_.C ), to(STEP5_qstate_3_.C )
CHK: delay(200 200), type(tH), from(STEP5_qstate_3_.D ), to(STEP5_qstate_3_.C )
CHK: delay(200 200), type(tS_PT), from(STEP5_qstate_3_.D ), to(STEP5_qstate_3_.C )
MOD: delay(95 95), type(tSRi), from(STEP5_outLED_1_0_.AR ), to(STEP5_outLED_1_0_.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_outLED_1_0_.LH ), to(STEP5_outLED_1_0_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_outLED_1_0_.D ), to(STEP5_outLED_1_0_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_outLED_1_0_.AR ), to(STEP5_outLED_1_0_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_outLED_1_0_.AR ), to(STEP5_outLED_1_0_.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_outLED_1_0_.LH ), to(STEP5_outLED_1_0_.LH )
CHK: delay(200 200), type(tHL), from(STEP5_outLED_1_0_.D ), to(STEP5_outLED_1_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_outLED_1_0_.D ), to(STEP5_outLED_1_0_.LH )
MOD: delay(45 45), type(tPDi), from(step5_next_qstate53_n ), to(step5_next_qstate53_n.OUT)
MOD: delay(95 95), type(tSRi), from(STEP5_next_qstate_0_.AP ), to(STEP5_next_qstate_0_.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_next_qstate_0_.LH ), to(STEP5_next_qstate_0_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_next_qstate_0_.D ), to(STEP5_next_qstate_0_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_next_qstate_0_.AP ), to(STEP5_next_qstate_0_.AP )
CHK: delay(180 180), type(tSRR), from(STEP5_next_qstate_0_.AP ), to(STEP5_next_qstate_0_.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_next_qstate_0_.LH ), to(STEP5_next_qstate_0_.LH )
CHK: delay(200 200), type(tHL), from(STEP5_next_qstate_0_.D ), to(STEP5_next_qstate_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_next_qstate_0_.D ), to(STEP5_next_qstate_0_.LH )
MOD: delay(95 95), type(tSRi), from(STEP5_next_qstate_1_.AR ), to(STEP5_next_qstate_1_.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_next_qstate_1_.LH ), to(STEP5_next_qstate_1_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_next_qstate_1_.D ), to(STEP5_next_qstate_1_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_next_qstate_1_.AR ), to(STEP5_next_qstate_1_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_next_qstate_1_.AR ), to(STEP5_next_qstate_1_.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_next_qstate_1_.LH ), to(STEP5_next_qstate_1_.LH )
CHK: delay(200 200), type(tHL), from(STEP5_next_qstate_1_.D ), to(STEP5_next_qstate_1_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_next_qstate_1_.D ), to(STEP5_next_qstate_1_.LH )
MOD: delay(95 95), type(tSRi), from(STEP5_next_qstate_2_.AR ), to(STEP5_next_qstate_2_.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_next_qstate_2_.LH ), to(STEP5_next_qstate_2_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_next_qstate_2_.D ), to(STEP5_next_qstate_2_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_next_qstate_2_.AR ), to(STEP5_next_qstate_2_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_next_qstate_2_.AR ), to(STEP5_next_qstate_2_.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_next_qstate_2_.LH ), to(STEP5_next_qstate_2_.LH )
CHK: delay(200 200), type(tHL), from(STEP5_next_qstate_2_.D ), to(STEP5_next_qstate_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_next_qstate_2_.D ), to(STEP5_next_qstate_2_.LH )
MOD: delay(95 95), type(tSRi), from(STEP5_next_qstate_3_.AP ), to(STEP5_next_qstate_3_.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_next_qstate_3_.LH ), to(STEP5_next_qstate_3_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_next_qstate_3_.D ), to(STEP5_next_qstate_3_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_next_qstate_3_.AP ), to(STEP5_next_qstate_3_.AP )
CHK: delay(180 180), type(tSRR), from(STEP5_next_qstate_3_.AP ), to(STEP5_next_qstate_3_.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_next_qstate_3_.LH ), to(STEP5_next_qstate_3_.LH )
CHK: delay(200 200), type(tHL), from(STEP5_next_qstate_3_.D ), to(STEP5_next_qstate_3_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_next_qstate_3_.D ), to(STEP5_next_qstate_3_.LH )
MOD: delay(35 35), type(tGOi), from(STEP2_next_count_state_0_.LH ), to(STEP2_next_count_state_0_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP2_next_count_state_0_.D ), to(STEP2_next_count_state_0_.Q )
CHK: delay(0 0), type(tGWA), from(STEP2_next_count_state_0_.LH ), to(STEP2_next_count_state_0_.LH )
CHK: delay(200 200), type(tHL), from(STEP2_next_count_state_0_.D ), to(STEP2_next_count_state_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP2_next_count_state_0_.D ), to(STEP2_next_count_state_0_.LH )
MOD: delay(35 35), type(tGOi), from(STEP2_next_count_state_1_.LH ), to(STEP2_next_count_state_1_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP2_next_count_state_1_.D ), to(STEP2_next_count_state_1_.Q )
CHK: delay(0 0), type(tGWA), from(STEP2_next_count_state_1_.LH ), to(STEP2_next_count_state_1_.LH )
CHK: delay(200 200), type(tHL), from(STEP2_next_count_state_1_.D ), to(STEP2_next_count_state_1_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP2_next_count_state_1_.D ), to(STEP2_next_count_state_1_.LH )
MOD: delay(35 35), type(tGOi), from(STEP2_next_count_state_2_.LH ), to(STEP2_next_count_state_2_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP2_next_count_state_2_.D ), to(STEP2_next_count_state_2_.Q )
CHK: delay(0 0), type(tGWA), from(STEP2_next_count_state_2_.LH ), to(STEP2_next_count_state_2_.LH )
CHK: delay(200 200), type(tHL), from(STEP2_next_count_state_2_.D ), to(STEP2_next_count_state_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP2_next_count_state_2_.D ), to(STEP2_next_count_state_2_.LH )
MOD: delay(45 45), type(tCOi), from(STEP1A_CQ_0_.C ), to(STEP1A_CQ_0_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_CQ_0_.C ), to(STEP1A_CQ_0_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_CQ_0_.C ), to(STEP1A_CQ_0_.C )
CHK: delay(200 200), type(tH), from(STEP1A_CQ_0_.D ), to(STEP1A_CQ_0_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_CQ_0_.D ), to(STEP1A_CQ_0_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_CQ_1_.C ), to(STEP1A_CQ_1_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_CQ_1_.C ), to(STEP1A_CQ_1_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_CQ_1_.C ), to(STEP1A_CQ_1_.C )
CHK: delay(200 200), type(tH), from(STEP1A_CQ_1_.D ), to(STEP1A_CQ_1_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_CQ_1_.D ), to(STEP1A_CQ_1_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_CQ_2_.C ), to(STEP1A_CQ_2_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_CQ_2_.C ), to(STEP1A_CQ_2_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_CQ_2_.C ), to(STEP1A_CQ_2_.C )
CHK: delay(200 200), type(tH), from(STEP1A_CQ_2_.D ), to(STEP1A_CQ_2_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_CQ_2_.D ), to(STEP1A_CQ_2_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_CQ_3_.C ), to(STEP1A_CQ_3_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_CQ_3_.C ), to(STEP1A_CQ_3_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_CQ_3_.C ), to(STEP1A_CQ_3_.C )
CHK: delay(200 200), type(tH), from(STEP1A_CQ_3_.D ), to(STEP1A_CQ_3_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_CQ_3_.D ), to(STEP1A_CQ_3_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_CQ_4_.C ), to(STEP1A_CQ_4_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_CQ_4_.C ), to(STEP1A_CQ_4_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_CQ_4_.C ), to(STEP1A_CQ_4_.C )
CHK: delay(200 200), type(tH), from(STEP1A_CQ_4_.D ), to(STEP1A_CQ_4_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_CQ_4_.D ), to(STEP1A_CQ_4_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_CQ_5_.C ), to(STEP1A_CQ_5_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_CQ_5_.C ), to(STEP1A_CQ_5_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_CQ_5_.C ), to(STEP1A_CQ_5_.C )
CHK: delay(200 200), type(tH), from(STEP1A_CQ_5_.D ), to(STEP1A_CQ_5_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_CQ_5_.D ), to(STEP1A_CQ_5_.C )
MOD: delay(35 35), type(tGOi), from(STEP1A_count_0_.LH ), to(STEP1A_count_0_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_count_0_.D ), to(STEP1A_count_0_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_count_0_.LH ), to(STEP1A_count_0_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_count_0_.D ), to(STEP1A_count_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_count_0_.D ), to(STEP1A_count_0_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_count_1_.LH ), to(STEP1A_count_1_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_count_1_.D ), to(STEP1A_count_1_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_count_1_.LH ), to(STEP1A_count_1_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_count_1_.D ), to(STEP1A_count_1_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_count_1_.D ), to(STEP1A_count_1_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_count_2_.LH ), to(STEP1A_count_2_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_count_2_.D ), to(STEP1A_count_2_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_count_2_.LH ), to(STEP1A_count_2_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_count_2_.D ), to(STEP1A_count_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_count_2_.D ), to(STEP1A_count_2_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_count_3_.LH ), to(STEP1A_count_3_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_count_3_.D ), to(STEP1A_count_3_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_count_3_.LH ), to(STEP1A_count_3_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_count_3_.D ), to(STEP1A_count_3_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_count_3_.D ), to(STEP1A_count_3_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_next_CQ_0_.LH ), to(STEP1A_next_CQ_0_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_CQ_0_.D ), to(STEP1A_next_CQ_0_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_CQ_0_.LH ), to(STEP1A_next_CQ_0_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_CQ_0_.D ), to(STEP1A_next_CQ_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_CQ_0_.D ), to(STEP1A_next_CQ_0_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_next_CQ_1_.LH ), to(STEP1A_next_CQ_1_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_CQ_1_.D ), to(STEP1A_next_CQ_1_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_CQ_1_.LH ), to(STEP1A_next_CQ_1_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_CQ_1_.D ), to(STEP1A_next_CQ_1_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_CQ_1_.D ), to(STEP1A_next_CQ_1_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_next_CQ_2_.LH ), to(STEP1A_next_CQ_2_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_CQ_2_.D.X2 ), to(STEP1A_next_CQ_2_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_CQ_2_.D.X1 ), to(STEP1A_next_CQ_2_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_CQ_2_.LH ), to(STEP1A_next_CQ_2_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_CQ_2_.D.X2 ), to(STEP1A_next_CQ_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_CQ_2_.D.X2 ), to(STEP1A_next_CQ_2_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_CQ_2_.D.X1 ), to(STEP1A_next_CQ_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_CQ_2_.D.X1 ), to(STEP1A_next_CQ_2_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_next_CQ_3_.LH ), to(STEP1A_next_CQ_3_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_CQ_3_.D.X2 ), to(STEP1A_next_CQ_3_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_CQ_3_.D.X1 ), to(STEP1A_next_CQ_3_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_CQ_3_.LH ), to(STEP1A_next_CQ_3_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_CQ_3_.D.X2 ), to(STEP1A_next_CQ_3_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_CQ_3_.D.X2 ), to(STEP1A_next_CQ_3_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_CQ_3_.D.X1 ), to(STEP1A_next_CQ_3_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_CQ_3_.D.X1 ), to(STEP1A_next_CQ_3_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_next_CQ_4_.LH ), to(STEP1A_next_CQ_4_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_CQ_4_.D ), to(STEP1A_next_CQ_4_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_CQ_4_.LH ), to(STEP1A_next_CQ_4_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_CQ_4_.D ), to(STEP1A_next_CQ_4_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_CQ_4_.D ), to(STEP1A_next_CQ_4_.LH )
MOD: delay(45 45), type(tPDi), from(step5_n_47_0_n ), to(step5_n_47_0_n.OUT)
MOD: delay(35 35), type(tGOi), from(STEP1A_next_0_.LH ), to(STEP1A_next_0_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_0_.D.X2 ), to(STEP1A_next_0_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_0_.D.X1 ), to(STEP1A_next_0_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_0_.LH ), to(STEP1A_next_0_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_0_.D.X2 ), to(STEP1A_next_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_0_.D.X2 ), to(STEP1A_next_0_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_0_.D.X1 ), to(STEP1A_next_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_0_.D.X1 ), to(STEP1A_next_0_.LH )
MOD: delay(45 45), type(tPDi), from(step5_n_46_0_n ), to(step5_n_46_0_n.OUT)
MOD: delay(35 35), type(tGOi), from(STEP1A_next_1_.LH ), to(STEP1A_next_1_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_1_.D ), to(STEP1A_next_1_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_1_.LH ), to(STEP1A_next_1_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_1_.D ), to(STEP1A_next_1_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_1_.D ), to(STEP1A_next_1_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_next_2_.LH ), to(STEP1A_next_2_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_2_.D.X2 ), to(STEP1A_next_2_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_2_.D.X1 ), to(STEP1A_next_2_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_2_.LH ), to(STEP1A_next_2_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_2_.D.X2 ), to(STEP1A_next_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_2_.D.X2 ), to(STEP1A_next_2_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_2_.D.X1 ), to(STEP1A_next_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_2_.D.X1 ), to(STEP1A_next_2_.LH )
MOD: delay(45 45), type(tPDi), from(step5_un1_next_qstate54_i_n ), to(step5_un1_next_qstate54_i_n.OUT)
MOD: delay(35 35), type(tGOi), from(STEP1A_next_3_.LH ), to(STEP1A_next_3_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_3_.D ), to(STEP1A_next_3_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_3_.LH ), to(STEP1A_next_3_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_3_.D ), to(STEP1A_next_3_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_3_.D ), to(STEP1A_next_3_.LH )
MOD: delay(35 35), type(tGOi), from(STEP1A_next_4_.LH ), to(STEP1A_next_4_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP1A_next_4_.D ), to(STEP1A_next_4_.Q )
CHK: delay(0 0), type(tGWA), from(STEP1A_next_4_.LH ), to(STEP1A_next_4_.LH )
CHK: delay(200 200), type(tHL), from(STEP1A_next_4_.D ), to(STEP1A_next_4_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP1A_next_4_.D ), to(STEP1A_next_4_.LH )
